區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
3,中興淨水場,229539.2870 ,2709974.4370 ,銅鑼鄉(中平村、私有中興工業區)。,中興寬口井
3,三義淨水場,226457.0620 ,2700498.8950 ,三義鄉(廣盛村)。,三義淨水場2口深井
3,芎林淨水場,260194.3620 ,2738386.9590 ,芎林鄉全鄉及竹東鎮陸豐里。,頭前溪(竹林橋)
3,新埔淨水場,258129.0990 ,2746935.2480 ,新埔鎮全鎮，惟巨埔里、鹿鳴里、清水里、北平里、新北里、南平里等里之高地區尚未供水、關西鎮東平里(該里高地區尚未供水)。,鳳山溪
3,南庄淨水場,250079.0470 ,2721231.7760 ,"南庄鄉全鄉，惟山區向天湖、鹿場、蓬萊、東河等高地部落尚未供水。
三灣鄉大河底、下林坪、三灣、銅鏡、北埔、頂寮、永和、內灣村全部供水。",南江河
3,苗三淨水場,231572.6520 ,2715971.6400 ,苗栗市水源、勝利里、南苗地區供水。,苗三淺井
3,關西淨水場,267734.8510 ,2741742.0780 ,關西鎮除南新里及仁安里、大同里等里之高地區尚未供水。,鳳山溪
3,北埔淨水場,257048.8460 ,2729471.9180 ,北埔鄉、峨嵋鄉。,大坪溪
3,員崠淨水場,260053.1250 ,2734142.1230 ,竹東鎮除其中員山、頭重、柯湖(竹中)、二重里、三重里由寶山場供水、陸豐里部分由芎林場供水、竹東鎮上坪、瑞峰由桃山場供水外全部。,竹東圳
3,明德淨水場,238290.2900 ,2720058.3430 ,"苗栗市全市(不含高地區如新英里、龍岡道等)。
頭屋鄉全鄉，惟山區鳴鳳村、飛鳳村等少部分尚未供水。
造橋鄉：錦水、大西、大龍。
後龍鎮：大庄里、中龍里、北龍里、埔頂里、復興里、龍坑里、龍津里、豐富里。
頭份鎮濫坑(邊緣約10戶)。",明德水庫
3,湳雅淨水場,247682.1450 ,2746283.5590 ,湖口鄉鳳山村、鳳凰村(含新竹工業西區)、波羅村、新豐鄉青埔村、瑞興村、坡頭村、埔和村、新豐村、員山村、山崎村、忠孝村、中崙村、上坑村、鳳坑村、崎頂村、重興村、松林村、松柏村。,頭前溪
3,第一淨水場,248850.9060 ,2743105.4770 ,"新竹市東區:綠水里  北區:西門里、潛園里、中央里、仁德里、崇禮里、石坊里、興南里、西雅里、育英里、曲溪里、台溪里、南勢里、大鵬里、客雅里、中雅里、北門里、水田里、新民里、長和里、中興里、新雅里、中山里、民富里、文雅里、磐石里、大同里、光田里、士林里、福林里、古賢里、境福里、武陵里。
",頭前溪(隆恩堰）
3,第二淨水場,250085.8950 ,2744079.7900 ,新竹市東區水源里、千甲里、北區:光華里、湳雅里、金華里、舊社里、金竹里、金雅里、湳中里、南寮里、康樂里、海濱里、舊港里、港北里、中寮里、公道五路、新竹科學園區、竹北市、湖口鄉鳳山村(含新竹工業東區)、波羅村、湖南村、湖鏡村、中勢村、信勢村、愛勢村、仁勢村、孝勢村、中興村、信義村、中正村、勝利村、德盛村、新豐鄉瑞興村。,頭前溪(隆恩堰）
