wkt_geom,id,name,data_status
Point (247789.71849999931873754 2746405.94989999989047647),38a949c8-ffb0-4514-92e9-505e41b9937e,頭前溪,猜測
Point (253510.1969000008830335 2743350.83129999972879887),86f93032-4aa1-42b3-867e-466f351773df,頭前溪(隆恩堰）,正確
Point (253694.60170000081416219 2738538.94299999950453639),968a7fb1-730c-44e5-b27e-ac752ab03a86,寶一、寶二水庫,猜測
Point (260198.55360000053769909 2734122.67720000119879842),9d7c7129-654f-4e2a-9ca5-faab28df6a0d,竹東圳,猜測
Point (259519.55480000062379986 2737965.39909999957308173),5f2804af-5997-4108-9d3c-d34484d9d2b8,頭前溪(竹林橋),猜測
Point (268521.76029999973252416 2732930.99349999940022826),3fcebd8f-5105-4969-a47b-56217abae96e,油羅溪,猜測
Point (276718.0175000011222437 2737526.54810000117868185),2ef05ed4-f682-449f-9551-4ef13bf80b1f,地面水(山澗水流入油羅溪)2,猜測
Point (270208.3247000002884306 2729214.80810000048950315),1adc767c-85ef-4752-9bc6-cc6f19bd1706,地面水(山澗水流入油羅溪)1,猜測
Point (261086.6508999987563584 2722005.87080000014975667),49320372-c299-4910-bb30-a0214171fb22,白蘭溪,猜測
