區處別,系統代號,淨水場名稱,淨水場資訊,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),三氯乙烯(Trichloroethene),四氯化碳(Carbon tetracholoride),1，1，1-三氯乙烷 (1，1，1-Trichloroethane),1，2-二氯乙烷(1，2-Dichloroethane),氯乙烯(Vinyl chloride),苯(Benzene),對-二氯苯(1，4-Dichlorobenzene),1，1-二氯乙烯(1，1-Dichloroethene),二氯甲烷(Dichloromethane),鄰-二氯苯(1，2-Dichlorbenzene),甲苯(Toluene),二甲苯(Xylene),順-1，2-二氯乙烯(cis-1，2-Dichloroethene),反-1，2-二氯乙烯(trans-1，2-Dichloroethene),四氯乙烯(Tetrachloroethene),鹵乙酸類(Haloacetic acids),水質合格否(Y/N)
三區,0309,內灣淨水場,內灣淨水場(Neiwan)新竹縣橫山鄉內灣村231之10號[0341075]{0309}<新竹縣市@Hsinchu City>,0.10,0.45,167,－－,0.00022,0.61,0.25,<5,<1,94.5,8.3,2.54,34.3,ND,<0.01,106,0.01,ND,1,<1,0.00470,0.0013,ND,ND,ND,ND,ND,<0.01,0.0002,<0.0001,0.0214,<0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0344,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00405,Y
三區,0305,北埔淨水場,北埔淨水場(Nankeng)新竹縣北埔鄉大坪段外大坪小段160-1號[0341039]{0305}<新竹縣市@Hsinchu City>,0.09,0.41,142,－－,0.00023,0.74,0.25,<5,<1,85.4,8.1,3.12,36.8,ND,<0.01,89.8,0.01,<0.001,1,<1,0.00839,0.0004,ND,0.0001,ND,ND,<0.01,<0.01,0.0001,<0.0001,0.0200,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.0466,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00600,Y
三區,0303,尖石淨水場,尖石淨水場(Jianshih)新竹縣尖石鄉新樂村水田69號[0341093]{0303}<新竹縣市@Hsinchu City>,0.08,0.50,84.8,－－,0.00019,0.54,0.20,<5,<1,56.1,8.0,2.00,9.23,ND,<0.01,54.9,<0.01,ND,1,<1,0.00321,0.0015,ND,ND,<0.01,ND,<0.01,<0.01,0.0002,<0.0001,0.0113,ND,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0158,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00294,Y
三區,0323,芎林淨水場,芎林淨水場(Cyonglin)新竹縣芎林鄉石壁潭5鄰114號[0348038]{0323}<新竹縣市@Hsinchu City>,0.13,0.71,237,－－,0.00034,0.76,0.15,<5,<1,134,7.7,11.8,24.5,ND,<0.01,142,0.01,ND,<1,<1,0.00240,0.0009,ND,ND,<0.01,ND,<0.01,<0.01,0.0002,<0.0001,0.0258,<0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0157,ND,ND,ND,ND,ND,ND,ND,ND,0.00003,ND,ND,ND,ND,ND,ND,ND,0.00522,Y
三區,0304,梅花淨水場,梅花淨水場(Meihua)新竹縣尖石鄉梅花村59之2號[0341106]{0304}<新竹縣市@Hsinchu City>,0.08,0.78,123,－－,0.00016,0.70,0.25,<5,<1,56.5,8.1,3.16,25.8,ND,<0.01,73.6,<0.01,ND,1,<1,0.00579,0.0020,ND,ND,ND,ND,<0.01,<0.01,0.0003,<0.0001,0.0093,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.0114,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00593,Y
三區,0311,新埔淨水場,新埔淨水場(Sinpu)新竹縣新埔鎮上樟路1段158巷23號[0348047]{0311}<新竹縣市@Hsinchu City>,0.13,1.09,269,－－,0.00065,0.76,0.20,<5,<1,126,7.5,21.6,28.8,ND,<0.01,143,0.01,<0.001,1,<1,0.0328,0.0005,ND,0.0002,ND,ND,<0.01,<0.01,0.0004,<0.0001,0.0354,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00006,ND,ND,ND,ND,ND,0.112,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0276,Y
三區,0324,關西淨水場,關西淨水場(Guansi)新竹縣關西鎮南山里渡船頭30號[0348056]{0324}<新竹縣市@Hsinchu City>,0.12,0.40,260,－－,0.00047,0.62,0.25,<5,<1,133,8.0,8.95,48.1,ND,<0.01,155,0.02,0.002,3,<1,0.0305,0.0005,ND,0.0001,ND,ND,ND,ND,0.0002,<0.0001,0.0242,<0.0001,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00004,ND,ND,ND,ND,ND,0.121,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00005,ND,ND,ND,ND,0.0170,Y
三區,0315,東興淨水場,東興淨水場(Donsin)苗栗縣頭份鎮上興里水源路417巷14號[0364018]{0315}<苗栗縣@Miaoli County>,0.10,0.37,187,<1,0.00058,0.74,0.35,<5,<1,92.5,7.9,4.78,37.0,ND,<0.01,111,0.02,0.003,1,<1,0.0201,0.0003,ND,ND,<0.01,<0.01,ND,<0.01,0.0006,<0.0001,0.0234,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00002,ND,ND,ND,ND,ND,0.0949,ND,ND,0.00005,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0138,Y
三區,0313,明德淨水場,明德淨水場(Minde)苗栗縣頭屋鄉明德村明德路151號[0345091]{0313}<苗栗縣@Miaoli County>,0.12,0.32,199,<1,0.00061,0.65,0.25,<5,<1,103,7.8,12.9,26.4,ND,<0.01,109,<0.01,0.002,1,<1,0.0355,0.0002,ND,ND,<0.01,ND,ND,ND,0.0011,ND,0.0132,ND,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.113,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0219,Y
三區,0314,大湖淨水場,大湖淨水場(Dahu)苗栗縣大湖鄉靜湖村水源地4號[0345064]{0314}<苗栗縣@Miaoli County>,0.13,2.56,256,－－,0.00010,0.69,0.15,<5,<1,142,7.6,3.63,51.7,ND,<0.01,165,0.05,<0.001,<1,<1,0.00064,0.0003,ND,ND,0.02,ND,<0.01,<0.01,0.0004,ND,0.0234,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0220,ND,ND,ND,ND,ND,ND,ND,0.00002,ND,ND,ND,ND,ND,ND,ND,ND,0.00453,Y
三區,0322,南庄淨水場,南庄淨水場(Nanjhuang)苗栗縣南庄鄉民生街71號[0344012]{0322}<苗栗縣@Miaoli County>,0.09,0.63,148,－－,0.00025,0.75,0.35,<5,<1,91.5,8.1,3.55,17.1,ND,<0.01,93.7,0.02,<0.001,2,<1,0.0108,ND,ND,ND,<0.01,ND,<0.01,ND,0.0008,ND,0.0180,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0001,ND,ND,ND,ND,0.0304,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00848,Y
三區,0316,中興淨水場,中興淨水場(Jhongsing)苗栗縣銅鑼鄉中平村瑞興北街1號[0347031]{0316}<苗栗縣@Miaoli County>,0.20,1.56,272,－－,0.00006,0.47,0.20,<5,<1,155,7.5,8.70,55.9,ND,<0.01,185,0.02,0.002,2,<1,0.00042,0.0002,ND,ND,<0.01,ND,ND,ND,ND,ND,0.0243,ND,0.07,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0146,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00218,Y
四區,0416,卓蘭淨水場,卓蘭淨水場(Jhuolan)苗栗縣卓蘭鎮上新里23-2號[0448075]{0416}<苗栗縣@Miaoli County>,0.11,0.80,320,－－,0.00013,0.47,0.20,<5,<1,116,7.4,2.95,131,ND,ND,157,ND,ND,<1,<1,0.00009,0.0002,ND,ND,<0.01,ND,<0.01,ND,0.0003,ND,0.0149,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00346,Y
四區,0401,豐原淨水場,豐原淨水場(Fongyuan)臺中市豐原區豐勢路2段1200巷6號[0461018]{0401}<臺中縣市@Taichung City>,0.12,0.62,170,<1,0.00044,0.73,0.30,<5,<1,89.5,7.9,4.11,38.5,ND,ND,119,0.01,ND,1,<1,0.00608,0.0006,ND,ND,<0.01,ND,<0.01,<0.01,0.0003,ND,0.0057,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0557,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00853,Y
四區,0401,鯉魚潭淨水場,鯉魚潭淨水場(Liyutan)臺中市后里區九甲七路2號[0463012]{0401}<臺中縣市@Taichung City>,0.13,0.32,243,<1,0.00070,0.72,0.25,<5,<1,105,7.7,3.42,84.4,ND,ND,166,ND,ND,<1,<1,0.0108,0.0007,ND,ND,<0.01,ND,<0.01,<0.01,0.0005,ND,0.0087,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0675,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0123,Y
四區,0413,霧峰淨水場,霧峰淨水場(Wufong)臺中市霧峰區民生路99巷7號[0451015]{0413}<臺中縣市@Taichung City>,0.12,2.38,303,<1,0.00026,0.52,0.20,<5,<1,156,7.1,10.4,51.3,ND,ND,162,ND,ND,1,<1,0.00019,0.0012,ND,ND,0.02,ND,<0.01,<0.01,0.0002,ND,0.0066,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00308,Y
四區,0435,大安淨水場,大安淨水場(Daan)臺中市大安區中山南路680號[0443089]{0435}<臺中縣市@Taichung City>,0.08,1.83,255,<1,0.00035,0.70,0.20,<5,<1,109,7.3,8.59,57.3,ND,ND,161,ND,ND,1,<1,0.00018,0.0011,ND,ND,<0.01,ND,<0.01,<0.01,0.0005,ND,0.0048,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00294,Y
四區,0428,大肚淨水場,大肚淨水場(Dadu)臺中市大肚區自由路268巷8號[0454034]{0428}<臺中縣市@Taichung City>,0.15,2.94,203,－－,0.00043,0.43,0.25,<5,<1,89.8,7.4,27.0,21.6,ND,<0.01,90.6,0.01,ND,<1,<1,0.00179,0.0005,ND,ND,<0.01,ND,<0.01,<0.01,0.0006,ND,0.0057,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00266,Y
四區,0407,谷關淨水場,谷關淨水場(Guguan)臺中市和平區東關路一段分校巷30號[0448066]{0407}<臺中縣市@Taichung City>,0.05,0.25,61.0,－－,0.00165,0.52,0.20,<5,<1,36.7,7.7,1.52,6.35,ND,<0.01,40.9,ND,ND,1,<1,0.00502,0.0001,ND,ND,ND,ND,<0.01,ND,0.0002,ND,0.0015,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00003,ND,ND,ND,ND,ND,ND,0.00375,Y
