區處別,系統代號,淨水場名稱,淨水場資訊,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),三氯乙烯(Trichloroethene),四氯化碳(Carbon tetracholoride),1，1，1-三氯乙烷 (1，1，1-Trichloroethane),1，2-二氯乙烷(1，2-Dichloroethane),氯乙烯(Vinyl chloride),苯(Benzene),對-二氯苯(1，4-Dichlorobenzene),1，1-二氯乙烯(1，1-Dichloroethene),二氯甲烷(Dichloromethane),鄰-二氯苯(1，2-Dichlorbenzene),甲苯(Toluene),二甲苯(Xylene),順-1，2-二氯乙烯(cis-1，2-Dichloroethene),反-1，2-二氯乙烯(trans-1，2-Dichloroethene),四氯乙烯(Tetrachloroethene),鹵乙酸類(Haloacetic acids),水質合格否(Y/N)
,,,項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,
,,,飲用水水質標準,0.8,10,500,－－,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.001,5,0.05,1,0.05,0.02,0.005,2,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.2,0.01,0.005,0.005,0.2,0.005,0.0003,0.005,0.075,0.007,0.02,0.6,0.7,0.5,0.07,0.1,0.005,0.06,－－
,,,單位,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－
一區,0101,新山淨水場,新山淨水場(Sinshan)基隆市麥金路720號[0162030]{0101}<基隆市@Keelung City>,0.04,1.10,118,<1,0.00015,0.67,0.25,<5,<1,30.7,7.1,18.1,15.4,ND,ND,40.2,0.05,ND,<1,<1,0.0243,0.0004,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0003,<0.0001,0.0160,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0897,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0178,Y
一區,0101,暖暖淨水場,暖暖淨水場(Nuannuan)基隆市水源路38號[0162012]{0101}<基隆市@Keelung City>,0.03,0.83,88.5,<1,0.00020,0.72,0.25,<5,<1,19.9,6.9,15.4,10.3,ND,ND,29.2,0.04,ND,<1,<1,0.0257,ND,<0.0001,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0298,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.0881,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0210,Y
一區,0101,員山淨水場,員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號[0141019]{0101}<新北市@New Taipei City>,0.03,0.58,104,<1,0.00039,0.64,0.55,<5,<1,29.2,7.5,13.4,13.0,ND,ND,32.9,0.04,ND,<1,<1,0.0224,ND,0.0001,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0146,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0963,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0205,Y
一區,0104,坪林淨水場,坪林淨水場(Pinglin)新北市坪林區坪林里國中路3號[0146023]{0104}<新北市@New Taipei City>,0.03,0.59,54.6,－－,0.00014,0.61,0.35,<5,<1,15.9,7.4,7.60,6.27,ND,ND,18.7,0.07,ND,<1,<1,0.00354,ND,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0141,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0592,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00365,Y
一區,0106,林莊淨水場,林莊淨水場(Linjhuang)新北市金山區重合里林口28—2號[0145044]{0106}<新北市@New Taipei City>,0.02,0.77,84.0,－－,0.00059,0.52,0.45,<5,<1,22.7,7.7,8.94,8.14,ND,ND,28.4,0.08,ND,<1,<1,0.00126,<0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0939,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00165,Y
一區,0105,老梅淨水場,老梅淨水場(Laomei)新北市石門區老梅里七股33之2號[0144056]{0105}<新北市@New Taipei City>,0.02,0.90,90.2,－－,0.00034,0.60,0.55,<5,<1,22.5,7.5,13.5,4.36,ND,ND,24.8,0.05,ND,<1,<1,0.0105,ND,0.0002,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0029,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.114,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00669,Y
一區,0101,貢寮淨水場,貢寮淨水場(Gongliao)新北市貢寮區下雙溪街20號[0147011]{0101}<新北市@New Taipei City>,0.02,0.43,78.7,<1,0.00022,0.70,0.20,<5,<1,23.7,7.2,14.8,8.25,ND,ND,26.4,0.02,ND,<1,<1,0.0208,ND,0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0006,ND,0.0315,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0538,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00992,Y
二區,0201,平鎮淨水場,平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號[0262022]{0201}<桃園市@Taoyuan County>,0.09,0.35,154,<1,0.00038,0.71,0.35,<5,<1,68.0,7.6,4.51,36.6,ND,ND,94.0,ND,ND,<1,<1,0.00741,0.0008,0.0003,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0107,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.111,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00625,Y
二區,0201,大湳淨水場,大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號[0263010]{0201}<桃園市@Taoyuan County>,0.11,0.54,165,<1,0.00035,0.70,0.30,<5,<1,72.5,7.6,8.30,34.8,ND,ND,97.0,ND,ND,<1,<1,0.0169,0.0040,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0144,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.125,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0111,Y
二區,0201,石門淨水場,石門淨水場(Shihmen)桃園市平鎮區水廠路150號[0262013]{0201}<桃園市@Taoyuan County>,0.09,0.37,151,<1,0.00039,0.64,0.30,<5,<1,65.3,7.6,5.47,35.9,ND,ND,94.5,ND,ND,<1,<1,0.00968,0.0008,0.0003,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0117,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0917,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00685,Y
二區,0201,龍潭淨水場,龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號[0261007]{0201}<桃園市@Taoyuan County>,0.09,0.74,142,<1,0.00009,0.74,0.30,<5,<1,63.2,7.7,4.62,32.8,ND,ND,89.6,ND,ND,<1,<1,0.0103,0.0027,0.0001,ND,<0.01,ND,<0.01,<0.01,ND,ND,0.0061,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.114,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00748,Y
二區,0206,復興淨水場,復興淨水場(Fusing)桃園市復興區中正路280號[0246024]{0206}<桃園市@Taoyuan County>,0.09,0.45,114,－－,0.00013,0.56,0.40,<5,<1,67.6,7.5,3.86,8.14,ND,ND,58.9,ND,ND,<1,<1,0.00943,0.0037,<0.0001,ND,<0.01,ND,<0.01,<0.01,<0.0001,ND,0.0065,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0563,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00761,Y
三區,0301,新竹第一淨水場,新竹第一淨水場(Hsinchu First)新竹市博愛街1號[0361017]{0301}<新竹縣市@Hsinchu City>,0.13,1.10,263,<1,0.00020,0.65,0.25,<5,<1,120,7.8,12.1,44.8,ND,<0.01,155,0.02,ND,1,<1,0.00872,0.0005,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0007,<0.0001,0.0215,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0798,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00962,Y
三區,0301,新竹第二淨水場,新竹第二淨水場(Hsinchu Second)新竹市東美路91巷100號[0361044]{0301}<新竹縣市@Hsinchu City>,0.12,0.89,242,<1,0.00024,0.57,0.20,<5,<1,119,8.0,10.5,46.8,0.02,<0.01,150,0.03,ND,1,<1,0.0194,0.0006,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0008,<0.0001,0.0209,0.0001,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0001,ND,ND,ND,ND,0.0607,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0141,Y
三區,0301,寶山淨水場,寶山淨水場(Baoshan)新竹縣竹東鎮柯湖里柯湖路三段305巷130號[0363011A3]{0301}<新竹縣市@Hsinchu City>,0.12,0.23,246,<1,0.00043,0.77,0.30,<5,<1,103,7.9,6.09,66.3,ND,<0.01,139,0.02,<0.001,<1,<1,0.0137,0.0005,ND,ND,<0.01,ND,ND,<0.01,0.0005,<0.0001,0.0180,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0954,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00004,ND,ND,ND,ND,0.0103,Y
三區,0301,湳雅淨水場,湳雅淨水場(Nanya)新竹市湳雅街313巷32弄28號[0343024]{0301}<新竹縣市@Hsinchu City>,0.12,1.39,300,<1,0.00035,0.60,0.55,<5,<1,127,7.6,17.9,52.0,ND,<0.01,170,0.03,0.006,1,<1,0.0142,0.0006,0.0012,ND,<0.01,<0.01,<0.01,<0.01,0.0009,<0.0001,0.0260,0.0001,0.07,<0.00001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0930,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00003,ND,ND,ND,ND,0.0111,Y
三區,0302,員崠淨水場,員崠淨水場(Yuntong)新竹縣竹東鎮員崠淨仔61號[0341011]{0302}<新竹縣市@Hsinchu City>,0.11,0.29,253,<1,0.00026,0.64,0.30,<5,<1,107,8.1,2.68,72.3,ND,<0.01,162,0.02,<0.001,3,<1,0.00477,0.0009,ND,0.0002,<0.01,ND,<0.01,<0.01,0.0004,<0.0001,0.0201,0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0220,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00330,Y
三區,0308,桃山淨水場,桃山淨水場(Taoshan)新竹縣五峰鄉桃山村桃山1號[0341066]{0308}<新竹縣市@Hsinchu City>,0.08,2.92,170,－－,0.00028,0.55,0.20,<5,<1,106,8.3,3.62,15.6,ND,<0.01,118,<0.01,ND,1,<1,0.00454,0.0005,ND,0.0001,ND,ND,<0.01,<0.01,0.0002,<0.0001,0.0204,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0146,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00405,Y
