區處別,系統代號,淨水場名稱,淨水場資訊,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),三氯乙烯(Trichloroethene),四氯化碳(Carbon tetracholoride),1，1，1-三氯乙烷 (1，1，1-Trichloroethane),1，2-二氯乙烷(1，2-Dichloroethane),氯乙烯(Vinyl chloride),苯(Benzene),對-二氯苯(1，4-Dichlorobenzene),1，1-二氯乙烯(1，1-Dichloroethene),二氯甲烷(Dichloromethane),鄰-二氯苯(1，2-Dichlorbenzene),甲苯(Toluene),二甲苯(Xylene),順-1，2-二氯乙烯(cis-1，2-Dichloroethene),反-1，2-二氯乙烯(trans-1，2-Dichloroethene),四氯乙烯(Tetrachloroethene),鹵乙酸類(Haloacetic acids),水質合格否(Y/N)
三區,0309,內灣淨水場,內灣淨水場(Neiwan)新竹縣橫山鄉內灣村231之10號[0341075]{0309}<新竹縣市@Hsinchu City>,0.1,0.46,160,－－,0.00023,0.54,0.25,<5,<1,92.3,8.3,2.49,32.8,ND,<0.01,104,0.01,ND,2,<1,0.00521,0.0016,ND,ND,ND,ND,ND,<0.01,ND,<0.0001,0.0211,<0.0001,0.06,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0367,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00399,Y
三區,0305,北埔淨水場,北埔淨水場(Nankeng)新竹縣北埔鄉大坪段外大坪小段160-1號[0341039]{0305}<新竹縣市@Hsinchu City>,0.09,0.43,140,－－,0.00025,0.72,0.3,<5,<1,84.5,8,3.26,38.5,ND,ND,89.2,0.01,ND,1,<1,0.01,0.0006,ND,0.0002,ND,ND,ND,<0.01,ND,<0.0001,0.0191,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.0487,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0062,Y
三區,0303,尖石淨水場,尖石淨水場(Jianshih)新竹縣尖石鄉新樂村水田69號[0341093]{0303}<新竹縣市@Hsinchu City>,0.08,0.5,81.1,－－,0.0002,0.55,0.2,<5,<1,55.1,8,2.03,8.92,ND,<0.01,53.7,<0.01,ND,1,<1,0.0041,0.0019,ND,ND,ND,ND,<0.01,<0.01,ND,<0.0001,0.0109,ND,0.07,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0164,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00302,Y
三區,0323,芎林淨水場,芎林淨水場(Cyonglin)新竹縣芎林鄉石壁潭5鄰114號[0348038]{0323}<新竹縣市@Hsinchu City>,0.13,0.72,226,－－,0.00032,0.76,0.15,<5,<1,130,7.7,11.1,25.4,ND,<0.01,139,0.01,ND,<1,<1,0.00188,0.0011,ND,ND,<0.01,ND,<0.01,<0.01,ND,<0.0001,0.0257,<0.0001,0.07,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0148,ND,ND,ND,ND,ND,ND,ND,ND,0.00004,ND,ND,ND,ND,ND,ND,ND,0.00586,Y
三區,0304,梅花淨水場,梅花淨水場(Meihua)新竹縣尖石鄉梅花村59之2號[0341106]{0304}<新竹縣市@Hsinchu City>,0.08,0.83,119,－－,0.00017,0.67,0.25,<5,<1,55.6,8,3.3,24.8,ND,<0.01,72.4,<0.01,ND,2,<1,0.00706,0.0024,ND,ND,ND,ND,<0.01,<0.01,0.0002,<0.0001,0.0092,ND,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.0127,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00634,Y
三區,0311,新埔淨水場,新埔淨水場(Sinpu)新竹縣新埔鎮上樟路1段158巷23號[0348047]{0311}<新竹縣市@Hsinchu City>,0.12,1.09,251,－－,0.00065,0.8,0.2,<5,<1,124,7.5,20.5,28.1,ND,<0.01,141,0.02,<0.001,2,<1,0.0335,0.0007,0.0011,0.0002,<0.01,ND,<0.01,<0.01,0.0004,<0.0001,0.0345,0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00007,ND,ND,ND,ND,ND,0.108,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0289,Y
三區,0324,關西淨水場,關西淨水場(Guansi)新竹縣關西鎮南山里渡船頭30號[0348056]{0324}<新竹縣市@Hsinchu City>,0.11,0.45,242,－－,0.00047,0.64,0.3,<5,<1,130,8,8.56,47.2,ND,<0.01,153,0.02,0.002,3,<1,0.0311,0.0007,ND,0.0002,ND,ND,ND,<0.01,0.0001,<0.0001,0.023,<0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00005,ND,ND,ND,ND,ND,0.12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0179,Y
三區,0315,東興淨水場,東興淨水場(Donsin)苗栗縣頭份鎮上興里水源路417巷14號[0364018]{0315}<苗栗縣@Miaoli County>,0.09,0.34,181,<1,0.00043,0.75,0.35,<5,<1,88.3,7.9,4.21,34.1,ND,<0.01,105,0.01,0.001,1,<1,0.0201,ND,ND,ND,<0.01,ND,<0.01,ND,ND,ND,0.0182,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00002,ND,ND,ND,ND,ND,0.0937,ND,ND,0.00005,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0138,Y
三區,0313,明德淨水場,明德淨水場(Minde)苗栗縣頭屋鄉明德村明德路151號[0345091]{0313}<苗栗縣@Miaoli County>,0.13,0.29,188,<1,0.00069,0.67,0.25,<5,<1,100,7.8,12.2,24.6,ND,<0.01,107,<0.01,0.001,1,<1,0.0344,0.0001,ND,ND,<0.01,ND,<0.01,ND,0.001,<0.0001,0.0129,<0.0001,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.111,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0224,Y
三區,0314,大湖淨水場,大湖淨水場(Dahu)苗栗縣大湖鄉靜湖村水源地4號[0345064]{0314}<苗栗縣@Miaoli County>,0.13,2.36,242,－－,0.00013,0.71,0.15,<5,<1,142,7.6,3.63,48.5,ND,<0.01,163,0.05,<0.001,<1,<1,0.00066,0.0002,ND,ND,0.01,ND,<0.01,<0.01,0.0005,<0.0001,0.0241,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0181,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00378,Y
三區,0322,南庄淨水場,南庄淨水場(Nanjhuang)苗栗縣南庄鄉民生街71號[0344012]{0322}<苗栗縣@Miaoli County>,0.09,0.65,151,－－,0.00025,0.75,0.35,<5,<1,90.5,8.2,3.39,15.9,ND,<0.01,92,0.02,<0.001,1,<1,0.0108,ND,ND,ND,<0.01,ND,<0.01,ND,0.0008,ND,0.018,ND,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0001,ND,ND,ND,ND,0.0272,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00848,Y
三區,0316,中興淨水場,中興淨水場(Jhongsing)苗栗縣銅鑼鄉中平村瑞興北街1號[0347031]{0316}<苗栗縣@Miaoli County>,0.2,1.55,268,－－,0.00007,0.48,0.2,<5,<1,157,7.5,8.02,54.8,ND,<0.01,184,0.02,0.001,2,<1,0.00046,ND,ND,ND,<0.01,ND,ND,ND,0.0003,<0.0001,0.0256,ND,0.07,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0126,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00225,Y
四區,0416,卓蘭淨水場,卓蘭淨水場(Jhuolan)苗栗縣卓蘭鎮上新里23-2號[0448075]{0416}<苗栗縣@Miaoli County>,0.1,0.86,321,－－,0.00015,0.46,0.2,<5,<1,108,7.4,2.91,146,ND,ND,156,ND,ND,<1,<1,0.00009,0.0001,ND,ND,ND,ND,<0.01,ND,0.0004,ND,0.0154,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00382,Y
四區,0401,豐原淨水場,豐原淨水場(Fongyuan)臺中市豐原區豐勢路2段1200巷6號[0461018]{0401}<臺中縣市@Taichung City>,0.12,0.62,166,<1,0.00039,0.72,0.3,<5,<1,86.4,7.9,4.18,37.7,ND,ND,116,0.01,ND,1,<1,0.00608,0.0004,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,<0.0001,0.0064,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0489,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00853,Y
四區,0401,鯉魚潭淨水場,鯉魚潭淨水場(Liyutan)臺中市后里區九甲七路2號[0463012]{0401}<臺中縣市@Taichung City>,0.13,0.34,243,<1,0.00065,0.71,0.2,<5,<1,104,7.7,3.25,81.1,ND,ND,161,ND,ND,<1,<1,0.0108,0.0005,ND,ND,<0.01,ND,<0.01,<0.01,0.0006,<0.0001,0.0084,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0685,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0123,Y
四區,0413,霧峰淨水場,霧峰淨水場(Wufong)臺中市霧峰區民生路99巷7號[0451015]{0413}<臺中縣市@Taichung City>,0.12,2.38,301,<1,0.00026,0.51,0.15,<5,<1,159,7.1,10.6,51.2,ND,ND,162,ND,ND,1,<1,0.00019,0.0012,ND,ND,0.02,ND,<0.01,<0.01,0.0002,ND,0.0066,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00308,Y
四區,0435,大安淨水場,大安淨水場(Daan)臺中市大安區中山南路680號[0443089]{0435}<臺中縣市@Taichung City>,0.08,1.85,252,<1,0.00035,0.73,0.2,<5,<1,110,7.3,8.81,58.4,ND,ND,161,ND,ND,<1,<1,0.00018,0.0011,ND,ND,<0.01,ND,<0.01,<0.01,0.0005,ND,0.0048,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00294,Y
四區,0428,大肚淨水場,大肚淨水場(Dadu)臺中市大肚區自由路268巷8號[0454034]{0428}<臺中縣市@Taichung City>,0.15,3.1,207,－－,0.00046,0.45,0.2,<5,<1,90.3,7.5,27.8,21.7,ND,<0.01,95.2,0.01,ND,<1,<1,0.00188,0.0007,ND,ND,<0.01,ND,<0.01,<0.01,0.0006,ND,0.0059,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00266,Y
四區,0407,谷關淨水場,谷關淨水場(Guguan)臺中市和平區東關路一段分校巷30號[0448066]{0407}<臺中縣市@Taichung City>,0.05,0.25,59.4,－－,0.00163,0.4,0.2,<5,<1,37.3,7.7,1.62,6.19,ND,<0.01,42.2,ND,ND,<1,<1,0.00702,0.0002,ND,ND,ND,ND,<0.01,ND,0.0004,ND,0.0018,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00005,ND,ND,ND,ND,ND,ND,0.00435,Y
四區,0415,慶東淨水場,慶東淨水場(Cingdong)臺中市東勢區東關路294號[0448020]{0415}<臺中縣市@Taichung City>,0.12,1.06,176,－－,0.0007,0.5,0.25,<5,<1,97.1,7.6,2.82,37.5,ND,<0.01,124,<0.01,ND,1,<1,0.00106,0.0006,ND,ND,ND,ND,<0.01,ND,0.0006,ND,0.0066,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00092,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00251,Y
四區,0417,梨山淨水場,梨山淨水場(Lishan)臺中市和平區梨山村復興路民生巷1之1號[0448039]{0417}<臺中縣市@Taichung City>,0.06,0.24,123,－－,0.00019,0.35,0.3,<5,<1,85.1,8,0.86,16.1,ND,ND,94.5,ND,ND,1,<1,0.00341,0.001,ND,ND,<0.01,ND,<0.01,<0.01,0.0008,<0.0001,0.0038,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00606,Y
四區,0405,新社淨水場,新社淨水場(Sinshe)臺中市新社鄉協成村華豐街193-1號[0448048]{0405}<臺中縣市@Taichung City>,0.03,5.7,118,－－,0.0001,0.43,0.25,<5,<1,19.8,6.8,5.49,27.1,ND,ND,51.8,<0.01,0.014,<1,<1,0.00013,0.0007,ND,ND,<0.01,ND,<0.01,ND,0.0008,0.0001,0.0957,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0189,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00279,Y
四區,0433,集集淨水場,集集淨水場(Jiji)南投縣集集鎮吳厝里民權路430號[0447069]{0433}<南投縣@Nantou County>,0.12,0.4,275,<1,0.00081,0.64,0.3,<5,<1,132,8.2,2.18,88.6,ND,<0.01,199,0.02,ND,1,<1,0.00476,0.0013,ND,ND,ND,<0.01,<0.01,ND,0.0005,ND,0.0047,0.0004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.036,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00684,Y
四區,0418,埔里第三淨水場,埔里第三淨水場(Puli Third)南投縣埔里鎮中山路2段101號[0453037]{0418}<南投縣@Nantou County>,0.09,1.77,107,<1,0.0002,0.67,0.15,<5,<1,49.2,6.7,2.32,20.2,ND,ND,62.6,ND,ND,<1,<1,0.00033,0.0003,ND,ND,0.01,ND,0.01,<0.01,0.0006,ND,0.002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.00002,ND,ND,ND,ND,0.00259,Y
四區,0423,日月潭淨水場,日月潭淨水場(Rihyuetan)南投縣魚池鄉水社村中山路62號[0453131]{0423}<南投縣@Nantou County>,0.13,0.36,302,<1,0.00099,0.57,0.25,<5,<1,136,8.2,2.25,100,ND,ND,201,ND,ND,6,<1,0.00212,0.0007,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,ND,0.0046,0.0004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00413,Y
四區,0448,人倫淨水場,人倫淨水場(Renlun)南投縣信義鄉人和村民生巷82-5號[0447050]{0448}<南投縣@Nantou County>,0.07,0.71,202,－－,0.00033,0.5,0.2,<5,<1,111,8.2,3.36,39.1,ND,ND,135,ND,ND,1,<1,0.00578,0.0002,0.0016,ND,0.01,ND,<0.01,ND,0.0005,ND,0.0125,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.064,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00003,ND,ND,ND,ND,ND,ND,0.00537,Y
四區,0419,大坪頂淨水場,大坪頂淨水場(Dapingding)南投縣埔里鎮西安路3段222-1號[0453055]{0419}<南投縣@Nantou County>,0.07,3.05,79.7,－－,0.00011,0.5,0.25,<5,<1,32.5,7,4.69,5.02,ND,<0.01,33.1,ND,0.006,1,<1,0.00149,0.0007,ND,ND,0.01,ND,0.01,<0.01,0.0007,ND,0.0514,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00007,ND,0.00005,ND,ND,ND,ND,0.0028,Y
四區,0447,民和淨水場,民和淨水場(Minhe)南投縣水里鄉拔社埔段2-703地號[0447087]{0447}<南投縣@Nantou County>,0.14,0.39,181,－－,0.00145,0.54,0.25,<5,<1,70.2,6.9,2.35,61.3,ND,ND,91.9,ND,ND,<1,<1,0.00007,ND,0.0011,ND,<0.01,ND,<0.01,<0.01,0.0007,ND,0.0185,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00424,Y
四區,0444,坪頂淨水場,坪頂淨水場(Pingding)南投縣竹山鎮坪頂里坪頂路坪頂淨水場[0446080]{0444}<南投縣@Nantou County>,0.1,2.19,135,－－,0.0005,0.43,0.25,<5,<1,62.3,7.6,5.29,17.9,ND,ND,83,ND,ND,3,<1,0.00412,0.0001,ND,ND,ND,ND,<0.01,<0.01,0.0002,ND,0.0155,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0075,Y
四區,0434,信義淨水場,信義淨水場(Sinyi)南投縣信義鄉明德村玉山路新開巷4號[0447023]{0434}<南投縣@Nantou County>,0.13,0.4,290,－－,0.00103,0.51,0.3,<5,<1,134,8.1,4.46,101,ND,ND,202,ND,ND,<1,<1,0.0113,0.0006,ND,ND,ND,ND,<0.01,<0.01,0.0002,ND,0.0128,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.103,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00809,Y
四區,0429,南崗淨水場,南崗淨水場(Nangang)南投縣南投市成功一路28號[0444022]{0429}<南投縣@Nantou County>,0.11,6.74,253,－－,0.00028,0.42,0.2,<5,<1,85.9,6.9,6.99,44.3,ND,ND,128,0.03,ND,<1,<1,0.00417,0.0004,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,ND,0.0024,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0237,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00304,Y
四區,0439,草屯第二淨水場,草屯第二淨水場(Caotun Second)南投縣草屯鎮芬草路1段275號[0445029]{0439}<南投縣@Nantou County>,0.13,7.26,273,－－,0.00018,0.38,0.15,<5,<1,98.3,6.8,14.4,51.1,ND,ND,138,0.02,ND,<1,<1,0.00023,0.0004,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,ND,0.004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00018,ND,ND,ND,ND,ND,ND,ND,0.00242,Y
四區,0450,大旗尾淨水場,大旗尾淨水場(Daciwei)南投縣國姓鄉大旗村大長路692號[0453073]{0450}<南投縣@Nantou County>,0.14,0.57,216,－－,0.00048,0.62,0.25,<5,<1,87.4,8,2.47,74.2,ND,<0.01,144,ND,ND,1,<1,0.00128,0.0009,ND,ND,ND,ND,<0.01,<0.01,0.0002,ND,0.0042,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0315,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00008,ND,0.00003,ND,ND,ND,ND,0.00371,Y
四區,0445,鹿谷淨水場,鹿谷淨水場(Lugu)南投縣鹿谷鄉中正1路93號[0446099]{0445}<南投縣@Nantou County>,0.09,1.6,166,－－,0.001,0.46,0.35,<5,<1,96,8.1,5.34,17.6,ND,ND,104,ND,0.003,1,<1,0.0155,0.0001,ND,ND,ND,ND,ND,<0.01,0.0001,ND,0.0052,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0955,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0132,Y
四區,0424,德化淨水場,德化淨水場(Dehua)南投縣魚池鄉巒大林區29林班地[0453113]{0424}<南投縣@Nantou County>,0.12,0.34,283,－－,0.00098,0.6,0.3,<5,<1,136,8.2,2,96.1,ND,ND,202,ND,ND,5,<1,0.00537,0.001,ND,ND,<0.01,ND,<0.01,<0.01,0.0005,ND,0.0046,0.0004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0054,Y
四區,0449,羅娜淨水場,羅娜淨水場(Luonua)南投縣信義鄉羅娜村信筆巷4~2號[0447041]{0449}<南投縣@Nantou County>,0.09,0.17,204,－－,0.00088,0.48,0.2,<5,<1,129,8,1.65,42.6,ND,ND,147,ND,ND,<1,<1,0.00374,0.0044,0.0014,ND,<0.01,ND,<0.01,<0.01,0.0007,ND,0.0115,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0886,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00661,Y
四區,0420,春陽淨水場,春陽淨水場(Chunyang)南投縣仁愛鄉春陽段200-1地號[0453082]{0420}<南投縣@Nantou County>,0.15,0.34,395,－－,0.00025,0.51,0.25,<5,<1,241,7.9,3.67,97.3,ND,ND,273,ND,0.011,<1,<1,0.001,0.0002,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,ND,0.0047,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00356,Y
五區,0519,湖山淨水場,湖山淨水場(HwuShan)雲林縣斗六市南仁路220號[0564105]{0519}<雲林縣@Yunlin County>,0.1,0.4,249,<1,0.00011,0.67,0.15,<5,<1,122,7.9,6.25,55.7,0.02,<0.01,144,0.02,ND,<1,<1,0.0201,0.0005,<0.0001,<0.0001,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0128,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0308,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0201,Y
五區,0519,林內淨水場,林內淨水場(Linnei)雲林縣林內鄉烏麻村長源180號[0564065]{0519}<雲林縣@Yunlin County>,0.1,0.35,332,<1,0.00032,0.63,0.15,<5,<1,126,8,6,108,ND,<0.01,217,0.02,ND,<1,<1,0.00678,0.0019,0.0003,ND,<0.01,ND,<0.01,<0.01,0.0005,ND,0.0085,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0557,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00673,Y
五區,0501,蘭潭淨水場,蘭潭淨水場(Lantan)嘉義市小雅路53號[0561019]{0501}<嘉義縣市@Chiayi City>,0.11,0.26,261,<1,0.00051,0.77,0.3,<5,<1,127,8,9.99,55.3,0.02,<0.01,137,0.06,ND,<1,<1,0.0309,0.0011,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0188,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.037,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0305,Y
五區,0501,公園淨水場,公園淨水場(Gonyuan)嘉義市民權東路46號[0561028-2]{0501}<嘉義縣市@Chiayi City>,0.1,0.31,273,<1,0.00039,0.69,0.15,<5,<1,130,8,11.3,58.3,ND,<0.01,144,0.02,ND,<1,<1,0.0363,0.0004,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0197,0.0001,0.02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0356,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0275,Y
五區,0501,水上淨水場,水上淨水場(Shueishang)嘉義縣水上鄉龍德村三鎮路200號[0561037-2]{0501}<嘉義縣市@Chiayi City>,0.09,0.35,206,<1,0.00038,0.7,0.2,<5,<1,108,8.1,7.73,34,0.03,ND,123,0.05,ND,<1,<1,0.0224,0.0011,<0.0001,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0186,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0345,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0162,Y
五區,0509,大埔淨水場,大埔淨水場(Dapu)嘉義縣大埔鄉大埔村大埔1號[0560030]{0509}<嘉義縣市@Chiayi City>,0.09,0.94,362,<1,0.00014,0.51,0.15,<5,<1,239,7.6,9.68,42.6,0.02,ND,222,ND,ND,<1,<1,0.00643,0.0011,ND,ND,<0.01,ND,<0.01,<0.01,0.0004,ND,0.0115,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0546,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00472,Y
