fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"200","199",2be8d737-7c62-408b-927c-921d13935cd7,23.5247083,120.195127,塭底村_樂天農園,P20,"10009200",雲林縣,水林鄉,Shuilin Township,P,"10009"
"201","200",1abde62e-5f44-4066-b81c-2a1b6defbb8a,22.941998,120.249449,中正路一段高速公路下(淹水站29),D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"202","201",f3a35891-d5ad-4112-9d79-bf83e9c66b23,23.6386803,120.1540166,108P034四湖廣溝村和天宮,P18,"10009180",雲林縣,四湖鄉,Sihu Township,P,"10009"
"203","202",382b6b9c-7548-47d2-aca4-b1a4b176222d,24.663351,121.810178,冬山鄉三堵路淹水感測站,G08,"10002080",宜蘭縣,冬山鄉,Dongshan Township,G,"10002"
"204","203",3dcdf1f9-a52c-49ca-a61d-312e7d568d8b,25.0666518,121.6303925,汐止區中興路地下道,F28,"65000110",新北市,汐止區,Xizhi District,F,"65000"
"205","204",0f175403-1d74-4c71-9a7d-6d21e762ce19,23.920585,120.698939,南投市南龍排水淹水感測站,M01,"10008010",南投縣,南投市,Nantou City,M,"10008"
"206","205",48961f4e-ca73-43f1-8ba4-113b6860e3bb,23.51347,120.43989,民雄鄉金興村A站,Q05,"10010050",嘉義縣,民雄鄉,Minxueng Township,Q,"10010"
"207","206",39db73ce-165b-4387-b802-230babb2f03c,23.844191,120.274601,大城鄉許厝巷淹水感測站,N24,"10007240",彰化縣,大城鄉,Dacheng Township,N,"10007"
"208","207",ad7037c8-c4c8-44e1-87a7-230aff929260,24.575224,120.82907,苗栗市嘉新里富樂路,K01,"10005010",苗栗縣,苗栗市,Miaoli City,K,"10005"
"209","208",bdad5c41-3370-4ccc-bf56-9d52e40931bd,25.026482,121.9279,貢寮區復興街淹水感測站,F24,"65000260",新北市,貢寮區,Gongliao District,F,"65000"
