fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"91","90",102b31d0-a0de-4097-bee1-0e9f05d9806b,23.047882,120.193127,安中路二段2巷130號前(淹水站8),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"92","91",2de42960-dac4-47d4-bbaa-40958bc7c8be,23.038806,120.202994,安中路一段410巷口(淹水站21),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"93","92",70016165-34a2-44d7-a0ff-8074d9c8808e,22.957573,120.190948,中華南路二段233巷142號前(淹水站51),D02,"67000330",臺南市,南區,S. District,D,"67000"
"94","93",93ddf7d3-5d32-434c-bd87-5d1a63184106,22.981715,120.25725,中正路三段太乙路口淹水站59,D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"95","94",018872f5-20b1-4e7b-8237-90a29017f652,23.055877,120.174906,海佃路四段55巷48弄底(淹水站19),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"96","95",fbdad850-d334-423a-9443-8727130cafdd,23.019997,120.269594,中山北路344巷(淹水站42),D39,"67000310",臺南市,永康區,Yongkang District,D,"67000"
"97","96",59ccb013-aaf2-4d6c-9980-bff33140dd32,22.998636,120.250861,大灣路1102巷44之3號旁(淹水站41),D39,"67000310",臺南市,永康區,Yongkang District,D,"67000"
"98","97",d6c1e3ab-3a58-4545-a965-4148e20abc76,23.056378,120.220568,大聖路齊天大聖廟前(淹水站45),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"99","98",3dda2cbf-6560-4ceb-9df5-ace54ea03944,24.934134,121.371915,三峽宰樞廟前,F15,"65000090",新北市,三峽區,Sanxia District,F,"65000"
"100","99",04674a55-e5b9-49c0-be1d-6539f0189d4b,23.028226,120.217328,安和路一段52巷107號前(淹水站47),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"101","100",52e57791-a69d-4bbb-ba25-41a798f35700,22.97372,120.254478,正義二街中清二街口(淹水站56),D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"102","101",68bcdecd-e26b-402d-af72-0247029d181e,23.962316,120.567229,員林彰基淹水感測,N05,"10007100",彰化縣,員林市,Yuanlin City,N,"10007"
"103","102",697e1b7d-6c79-4080-9c5b-5f05b5a276e6,22.981969,120.248705,虎尾寮水資源回收中心前(淹水站33),D01,"67000320",臺南市,東區,E. District,D,"67000"
"104","103",8bac093e-389a-403c-be45-5016efc3e910,23.292525,120.150671,鯤江里新寶宮前(淹水站85),D24,"67000170",臺南市,北門區,Beimen District,D,"67000"
"105","104",c37dafd8-ca77-4ffd-b353-26cdeca051bb,22.941998,120.249449,中正路一段高速公路下(淹水站29),D32,"67000270",臺南市,仁德區,Rende District,D,"67000"
"106","105",1f18b847-33bd-4c38-a588-575b4a38575e,23.063871,120.179136,海佃路388巷6弄79號後方(淹水站44),D06,"67000350",臺南市,安南區,Annan District,D,"67000"
"107","106",2a069876-dfc2-40f1-ba90-346d90d2718c,23.219606,120.117755,將軍幼兒園前(淹水站4),D23,"67000160",臺南市,將軍區,Jiangjun District,D,"67000"
"108","107",5ad92890-d26d-414a-a9e1-b6e937752480,24.9609304,121.4363456,土城區承天路4巷17之1號,F19,"65000130",新北市,土城區,Tucheng District,F,"65000"
